"rich","pfor","pagri","pwet","region","x","y"
21,0.0403797807251899,0.489946493807945,0.469673725466865,8,0.139790241606534,0.81180158816278
17,0.259918481467371,0.380016959069233,0.360064559463395,3,0.110002360772341,0.308777563041076
14,0.711214914178743,0.220812206673291,0.067972879147966,2,0.131674919044599,0.566647557541728
18,0.167817895946786,0.331795135253272,0.500386968799941,6,0.959328564815223,0.546373827382922
30,0.0293243619065773,0.537186510152203,0.43348912794122,10,0.152166890911758,0.222712648101151
14,0.436053768563289,0.386404812239882,0.17754141919683,2,0.234126708703116,0.72063014889136
8,0.416170852087659,0.538737923882972,0.0450912240293692,5,0.257159892469645,0.924228892894462
14,0.219882052541699,0.348532667911844,0.431585279546457,5,0.935552628012374,0.445424439618364
21,0.118835729090317,0.684137372280902,0.197026898628781,1,0.501340175280347,0.560247435700148
14,0.500738592366952,0.375552054772617,0.12370935286043,7,0.877520584035665,0.336661851266399
23,0.173261177901013,0.728090277032645,0.0986485450663414,8,0.262020344380289,0.213143866043538
9,0.793105410671184,0.173000153359283,0.0338944359695329,9,0.202999807428569,0.700212548254058
34,0.0191376804475543,0.405071340080814,0.575790979471631,7,0.352653450565413,0.964132808614522
15,0.238408826416655,0.350418517053232,0.411172656530113,6,0.701668568653986,0.789258331758901
21,0.139549831843158,0.037263873522688,0.823186294634154,1,0.930199016351253,0.376957370433956
13,0.759806349443319,0.210901090696031,0.0292925598606498,8,0.73784160008654,0.406195979332551
20,0.40606338622355,0.00624321126492105,0.58769340251153,6,0.694281254895031,0.508637429447845
14,0.367251591581554,0.484144689170581,0.148603719247864,7,0.510325519135222,0.646458378061652
13,0.534228805456145,0.358674689160838,0.107096505383017,1,0.0434884380083531,0.0119570577517152
18,0.304991152450381,0.230864967851313,0.464143879698306,4,0.293071637162939,0.136060842080042
18,0.0959432852058283,0.330715230655531,0.573341484138641,5,0.249770369147882,0.0466974449809641
26,0.0256870113361744,0.581864666553333,0.392448322110493,9,0.461807895218953,0.613490216666833
18,0.554061159944936,0.239405537628774,0.20653330242629,1,0.920242529828101,0.187347682891414
11,0.879681723052113,0.0741150797029071,0.0462031972449797,2,0.788740926422179,0.776986896060407
28,0.00546404443065318,0.686544178789451,0.307991776779896,1,0.166118227876723,0.568770615151152
29,0.296454514190427,0.177465101805457,0.526080384004116,3,0.76825703936629,0.315750054083765
18,0.127398644496315,0.435666971100749,0.436934384402936,5,0.267537213861942,0.000824646325781941
9,0.82283744038074,0.0617270413491968,0.115435518270063,7,0.34112836397253,0.0442976010963321
19,0.156545437035961,0.709204088011611,0.134250474952428,4,0.912199254147708,0.510641248431057
15,0.0140798713053482,0.705577527654726,0.280342601039925,9,0.968465471174568,0.413927880581468
6,0.750606369045495,0.211264200663999,0.0381294302905057,7,0.057829943485558,0.701138738542795
16,0.103547845295127,0.287274989119109,0.609177165585765,2,0.693618909455836,0.214282251661643
13,0.699249144200434,0.180695706346663,0.120055149452904,4,0.460310310125351,0.297277263132855
13,0.149663103169326,0.312844946929957,0.537491949900717,7,0.275387755595148,0.612015944439918
16,0.235903816313965,0.0963646207913352,0.6677315628947,5,0.419970932649449,0.818051195703447
15,0.476602762683075,0.448212375295034,0.0751848620218917,3,0.971784670837224,0.619561712490395
10,0.66527549508328,0.327629409010171,0.00709509590654915,9,0.0634696513880044,0.428810960613191
9,0.37480195682071,0.191362964998858,0.433835078180432,9,0.985859888838604,0.486431943252683
12,0.584650090996388,0.250144556427385,0.165205352576227,9,0.347792760934681,0.183880128897727
16,0.167528685169771,0.792310853244198,0.0401604615860312,2,0.299939868040383,0.308090058388188
13,0.546644251090351,0.168589646124224,0.284766102785425,2,0.585970541229472,0.940976285608485
33,0.0284406834133003,0.34443570729516,0.62712360929154,8,0.489303261041641,0.616671040421352
24,0.108067763432896,0.139960251230161,0.751971985336943,5,0.718702893704176,0.319503393955529
25,0.151440971994695,0.438495102071339,0.410063925933966,4,0.927393088815734,0.679250965826213
19,0.105688514142401,0.795246361864002,0.0990651239935967,1,0.285147298825905,0.545488681411371
15,0.3395217827897,0.1742187155459,0.4862595016644,8,0.12571748602204,0.699023228371516
24,0.232797641572792,0.0133889068139936,0.753813451613214,2,0.826141066616401,0.261300618760288
28,0.15653628583444,0.351576486746328,0.491887227419232,1,0.608069226145744,0.436773196328431
26,0.0555980248761656,0.809046973965511,0.135355001158323,10,0.546767061576247,0.37577003845945
16,0.404913133479461,0.379341282222458,0.215745584298081,6,0.71699263737537,0.85436586337164
12,0.559016824989778,0.076841857228801,0.364141317781421,8,0.751925025135279,0.77327228221111
11,0.411168436580246,0.0332552564896413,0.555576306930113,1,0.0573657352942973,0.545902650337666
25,0.252226343686902,0.0829232839117726,0.664850372401325,8,0.491330642951652,0.647332904161885
26,0.171383107526603,0.589539928221609,0.239076964251788,1,0.808543842518702,0.0658651895355433
17,0.298288779355837,0.162552929382198,0.539158291261965,5,0.721813444979489,0.653811670606956
11,0.281185560605644,0.22280355410481,0.496010885289546,1,0.555736575741321,0.92915184609592
17,0.398146520311898,0.121673885652809,0.480179594035293,10,0.113140749046579,0.860548804048449
19,0.0052016286126819,0.342657471153907,0.652140900233411,10,0.723186270333827,0.797803825931624
26,0.103156312952095,0.0357867613596328,0.861056925688272,8,0.0925163179636002,0.213363927556202
31,0.0710377294724875,0.0501648006681006,0.878797469859412,3,0.446744062472135,0.969357035122812
28,0.116869379341188,0.306870199218191,0.576260421440622,1,0.829446365823969,0.727770710829645
25,0.0111944918482571,0.926033363804671,0.0627721443470717,1,0.812373955268413,0.34396352735348
18,0.583606215529294,0.0864903587865183,0.329903425684188,1,0.805106687359512,0.144011767581105
12,0.330989287492576,0.567355412323604,0.101655300183819,9,0.385928065516055,0.138557519763708
7,0.70804137022658,0.236347347949317,0.0556112818241031,4,0.855607396457344,0.845946103567258
24,0.388679474173735,0.459210522522466,0.152110003303799,2,0.714623597217724,0.571411172393709
23,0.126414092244771,0.0102305053004662,0.863355402454763,9,0.362950246082619,0.570485441945493
30,0.108230339697143,0.706776876278341,0.184992784024515,10,0.234587585320696,0.485697905300185
28,0.203617973125763,0.00787480233618675,0.78850722453805,2,0.447980386437848,0.151276330230758
17,0.0549025213153625,0.832797906948787,0.11229957173585,4,0.576306900940835,0.732385592535138
24,0.265120631974323,0.528472850473654,0.206406517552023,9,0.777442976366729,0.871319835074246
14,0.0257362712078367,0.543216008006849,0.431047720785314,3,0.76659305812791,0.454476065235212
6,0.498749815230906,0.44691401803398,0.0543361667351143,1,0.310686375945807,0.516090937890112
13,0.377970027458154,0.457010414637476,0.16501955790437,4,0.696090014884248,0.647604308789596
18,0.585634173247776,0.350469351414359,0.0638964753378643,7,0.867223043460399,0.72471254109405
22,0.215917660031473,0.159452807211284,0.624629532757243,6,0.604597859084606,0.96284902584739
24,0.222437982543108,0.018508233817106,0.759053783639786,8,0.92771232011728,0.0918242861516774
16,0.481473968614193,0.354319237609167,0.164206793776641,1,0.273945062654093,0.452288063475862
15,0.535703570542603,0.246556631043604,0.217739798413793,9,0.737153093563393,0.730709372553974
23,0.012636913045957,0.547008932812308,0.440354154141735,7,0.333798867883161,0.362915082136169
23,0.0445929437336494,0.830986216044308,0.124420840222042,9,0.965366952121258,0.780548718292266
29,0.191850503583113,0.344451379585835,0.463698116831052,4,0.470562694827095,0.0392387302126735
29,0.029512860836664,0.498774251569384,0.471712887593952,10,0.374377324944362,0.604245674097911
21,0.230492521638314,0.7048968703966,0.064610607965086,8,0.64118138095364,0.625295462785289
23,0.0598806323027641,0.642157606653214,0.297961761044022,9,0.924763750750571,0.173909059260041
30,0.245796261793739,0.14115519401379,0.613048544192471,2,0.729309995193034,0.389736272860318
22,0.0391196926645717,0.0839669156837931,0.876913391651635,3,0.0286345407366753,0.829488683026284
29,0.024016902242607,0.335250696826169,0.640732400931224,10,0.154635634506121,0.567461665254086
8,0.73650158868142,0.0463758398726057,0.217122571445974,8,0.598557606572285,0.0154557540081441
17,0.229232894352734,0.611991439162525,0.15877566648474,8,0.0339207374490798,0.784110329812393
18,0.428769382763362,0.0980627649492342,0.473167852287404,3,0.477686499943957,0.758476423332468
20,0.515649576611056,0.0241272552236698,0.460223168165274,7,0.78373635513708,0.311779232230037
26,0.134664043989301,0.0451706754386362,0.820165280572062,8,0.0606572690885514,0.806589150102809
14,0.175721499404042,0.643867355666852,0.180411144929106,10,0.946361165028065,0.707121997373179
27,0.340982539419228,0.0771872831773283,0.581830177403443,2,0.525274250423536,0.944644154515117
14,0.520535659287136,0.377281742318083,0.102182598394781,3,0.925386261893436,0.100993441650644
8,0.872524947702254,0.0958699792709178,0.031605073026828,10,0.75126305827871,0.818795769009739
8,0.675527055930083,0.26880952600569,0.0556634180642268,3,0.872944886330515,0.0637066813651472
24,0.113192053856079,0.275245998440021,0.6115619477039,7,0.578260059934109,0.00863796332851052
30,0.16611381864625,0.0283865537470449,0.805499627606705,1,0.895715566817671,0.587930666282773
13,0.608525544983972,0.0635367301747335,0.327937724841295,10,0.592614009743556,0.365623241057619
10,0.684465724626694,0.0679174208404474,0.247616854532858,6,0.414218537276611,0.211289608385414
25,0.444094012254785,0.0418640518309523,0.514041935914263,9,0.0820369480643421,0.0162336674984545
17,0.311417789079513,0.3971251936595,0.291457017260986,8,0.423943419475108,0.054051753366366
10,0.766773472811848,0.045436242933672,0.18779028425448,8,0.624686713796109,0.875111226458102
32,0.121765735147715,0.0387203986333395,0.839513866218946,8,0.0377523261122406,0.849630401004106
28,0.11857369722223,0.520598557868261,0.360827744909509,10,0.803744586184621,0.70881861471571
27,0.161093880526487,0.194555159079924,0.644350960393589,6,0.922772634541616,0.762520253658295
24,0.07041752083883,0.911088539305384,0.0184939398557855,6,0.381869636010379,0.51389094023034
32,0.0656190189610149,0.324410483195925,0.60997049784306,3,0.329571664566174,0.289985921466723
15,0.206525821770334,0.508823502823112,0.284650675406554,5,0.00135975843295455,0.101478858850896
28,0.201570795901261,0.18740448582583,0.611024718272909,8,0.410452253185213,0.873538648709655
23,0.181061539414351,0.658588829227454,0.160349631358195,10,0.548867795849219,0.336341251851991
24,0.114705468407601,0.875958701748911,0.00933582984348802,10,0.569965780479833,0.359714778140187
23,0.156256760333328,0.18832625543585,0.655416984230822,1,0.00909612793475389,0.381875133607537
